===== 08_APLICATIVOS_INSTALADOS =====

DisplayName                                                             DisplayVersion     Publisher                 
Windows Mobile Extension SDK Contracts                                  10.1.26100.8249    Microsoft Corporation     
Windows SDK                                                             10.1.26100.8249    Microsoft Corporation     
Windows SDK AddOn                                                       10.1.0.0           Microsoft Corporation     
Windows SDK ARM64 Desktop Tools                                         10.1.26100.8249    Microsoft Corporation     
Windows SDK Desktop Headers arm64                                       10.1.26100.8249    Microsoft Corporation     
Windows SDK Desktop Headers x64                                         10.1.26100.8249    Microsoft Corporation     
Windows SDK Desktop Headers x86                                         10.1.26100.8249    Microsoft Corporation     
Windows SDK Desktop Libs arm64                                          10.1.26100.8249    Microsoft Corporation     
Windows SDK Desktop Libs x64                                            10.1.26100.8249    Microsoft Corporation     
Windows SDK Desktop Libs x86                                            10.1.26100.8249    Microsoft Corporation     
Windows SDK Desktop Tools arm64                                         10.1.26100.8249    Microsoft Corporation     
Windows SDK Desktop Tools x64                                           10.1.26100.8249    Microsoft Corporation     
Windows SDK Desktop Tools x86                                           10.1.26100.8249    Microsoft Corporation     
Windows SDK DirectX x64 Remote                                          10.1.26100.8249    Microsoft Corporation     
Windows SDK DirectX x86 Remote                                          10.1.26100.8249    Microsoft Corporation     
Windows SDK EULA                                                        10.1.26100.8249    Microsoft Corporations    
Windows SDK Facade Windows WinMD Versioned                              10.1.26100.8249    Microsoft Corporation     
Windows SDK for Windows Store Apps                                      10.1.26100.8249    Microsoft Corporation     
Windows SDK for Windows Store Apps Contracts                            10.1.26100.8249    Microsoft Corporation     
Windows SDK for Windows Store Apps DirectX x86 Remote                   10.1.26100.8249    Microsoft Corporation     
Windows SDK for Windows Store Apps Headers                              10.1.26100.8249    Microsoft Corporation     
Windows SDK for Windows Store Apps Headers OnecoreUap                   10.1.26100.8249    Microsoft Corporation     
Windows SDK for Windows Store Apps Libs                                 10.1.26100.8249    Microsoft Corporation     
Windows SDK for Windows Store Apps Metadata                             10.1.26100.8249    Microsoft Corporation     
Windows SDK for Windows Store Apps Tools                                10.1.26100.8249    Microsoft Corporation     
Windows SDK for Windows Store Managed Apps Libs                         10.1.26100.8249    Microsoft Corporation     
Windows SDK Modern Non-Versioned Developer Tools                        10.1.26100.8249    Microsoft Corporation     
Windows SDK Modern Versioned Developer Tools                            10.1.26100.8249    Microsoft Corporation     
Windows SDK OnecoreUap Headers arm64                                    10.1.26100.8249    Microsoft Corporation     
Windows SDK OnecoreUap Headers x64                                      10.1.26100.8249    Microsoft Corporation     
Windows SDK OnecoreUap Headers x86                                      10.1.26100.8249    Microsoft Corporation     
Windows SDK Redistributables                                            10.1.26100.8249    Microsoft Corporation     
Windows SDK Signing Tools                                               10.1.26100.8249    Microsoft Corporation     
Windows Software Development Kit - Windows 10.0.26100.8249              10.1.26100.8249    Microsoft Corporation     
Windows Subsystem for Linux                                             2.6.3.0            Microsoft Corporation     
Windows Team Extension SDK                                              10.1.26100.8249    Microsoft Corporation     
